categoria,tecnologia,titulo,tipo,url,idioma,status_code,accessible,error
Backend,FastAPI,FastAPI Official Docs,docs,https://fastapi.tiangolo.com/,en,200,True,
Backend,FastAPI,FastAPI GitHub,github,https://github.com/fastapi/fastapi,en,200,True,
Backend,FastAPI,FastAPI Tutorial,tutorial,https://fastapi.tiangolo.com/tutorial/,en,200,True,
Backend,Django,Django Official Docs,docs,https://docs.djangoproject.com/,en,200,True,
Backend,Django,Django GitHub,github,https://github.com/django/django,en,200,True,
Backend,Django,Django Tutorial,tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/,en,200,True,
Backend,NestJS,NestJS Official Docs,docs,https://docs.nestjs.com/,en,200,True,
Backend,NestJS,NestJS GitHub,github,https://github.com/nestjs/nest,en,200,True,
Backend,NestJS,NestJS Tutorial,tutorial,https://docs.nestjs.com/first-steps,en,200,True,
Frontend,React,React Official Docs,docs,https://react.dev/,en,200,True,
Frontend,React,React GitHub,github,https://github.com/facebook/react,en,200,True,
Frontend,React,React Tutorial,tutorial,https://react.dev/learn,en,200,True,
Frontend,Vue,Vue Official Docs,docs,https://vuejs.org/,en,200,True,
Frontend,Vue,Vue GitHub,github,https://github.com/vuejs/core,en,200,True,
Frontend,Vue,Vue Tutorial,tutorial,https://vuejs.org/guide/introduction.html,en,200,True,
Frontend,Angular,Angular Official Docs,docs,https://angular.dev/,en,200,True,
Frontend,Angular,Angular GitHub,github,https://github.com/angular/angular,en,200,True,
Frontend,Angular,Angular Tutorial,tutorial,https://angular.dev/tutorials,en,200,True,
Data Science,Pandas,Pandas Official Docs,docs,https://pandas.pydata.org/docs/,en,200,True,
Data Science,Pandas,Pandas GitHub,github,https://github.com/pandas-dev/pandas,en,200,True,
Data Science,Pandas,Pandas Tutorial,tutorial,https://pandas.pydata.org/docs/user_guide/index.html,en,200,True,
Data Science,NumPy,NumPy Official Docs,docs,https://numpy.org/doc/,en,200,True,
Data Science,NumPy,NumPy GitHub,github,https://github.com/numpy/numpy,en,200,True,
Data Science,NumPy,NumPy Tutorial,tutorial,https://numpy.org/doc/stable/user/,en,200,True,
Data Science,Scikit-learn,Scikit-learn Official Docs,docs,https://scikit-learn.org/stable/,en,200,True,
Data Science,Scikit-learn,Scikit-learn GitHub,github,https://github.com/scikit-learn/scikit-learn,en,200,True,
Data Science,Scikit-learn,Scikit-learn Tutorial,tutorial,https://scikit-learn.org/stable/user_guide.html,en,200,True,
Machine Learning,TensorFlow,TensorFlow Official Docs,docs,https://www.tensorflow.org/,en,200,True,
Machine Learning,TensorFlow,TensorFlow GitHub,github,https://github.com/tensorflow/tensorflow,en,200,True,
Machine Learning,TensorFlow,TensorFlow Tutorial,tutorial,https://www.tensorflow.org/tutorials,en,200,True,
Machine Learning,PyTorch,PyTorch Official Docs,docs,https://pytorch.org/,en,200,True,
Machine Learning,PyTorch,PyTorch GitHub,github,https://github.com/pytorch/pytorch,en,200,True,
Machine Learning,PyTorch,PyTorch Tutorial,tutorial,https://pytorch.org/tutorials/,en,200,True,
Machine Learning,Hugging Face,Hugging Face Official Docs,docs,https://huggingface.co/docs,en,200,True,
Machine Learning,Hugging Face,Hugging Face GitHub,github,https://github.com/huggingface,en,200,True,
Machine Learning,Hugging Face,Hugging Face Tutorial,tutorial,https://huggingface.co/learn,en,200,True,
DevOps,Docker,Docker Official Docs,docs,https://docs.docker.com/,en,200,True,
DevOps,Docker,Docker GitHub,github,https://github.com/docker,en,200,True,
DevOps,Docker,Docker Tutorial,tutorial,https://docs.docker.com/get-started/,en,200,True,
DevOps,Kubernetes,Kubernetes Official Docs,docs,https://kubernetes.io/docs/,en,200,True,
DevOps,Kubernetes,Kubernetes GitHub,github,https://github.com/kubernetes,en,200,True,
DevOps,Kubernetes,Kubernetes Tutorial,tutorial,https://kubernetes.io/docs/tutorials/,en,200,True,
DevOps,GitHub Actions,GitHub Actions Official Docs,docs,https://docs.github.com/actions,en,200,True,
DevOps,GitHub Actions,GitHub Actions GitHub,github,https://github.com/actions,en,200,True,
DevOps,GitHub Actions,GitHub Actions Tutorial,tutorial,https://docs.github.com/actions/learn-github-actions,en,200,True,
Cloud,Oracle Cloud (OCI),Oracle Cloud (OCI) Official Docs,docs,https://docs.oracle.com/en/cloud/,en,200,True,
Cloud,Oracle Cloud (OCI),Oracle Cloud (OCI) GitHub,github,https://github.com/oracle,en,200,True,
Cloud,Oracle Cloud (OCI),Oracle Cloud (OCI) Tutorial,tutorial,https://docs.oracle.com/en/learn/oci-basics-tutorial/,en,200,True,
Cloud,AWS,AWS Official Docs,docs,https://docs.aws.amazon.com/,en,200,True,
Cloud,AWS,AWS GitHub,github,https://github.com/aws,en,200,True,
Cloud,AWS,AWS Tutorial,tutorial,https://aws.amazon.com/getting-started/,en,200,True,
Cloud,Azure,Azure Official Docs,docs,https://learn.microsoft.com/azure,en,200,True,
Cloud,Azure,Azure GitHub,github,https://github.com/Azure,en,200,True,
Cloud,Azure,Azure Tutorial,tutorial,https://learn.microsoft.com/training/azure/,en,200,True,
Bases de Datos,PostgreSQL,PostgreSQL Official Docs,docs,https://www.postgresql.org/docs/,en,200,True,
Bases de Datos,PostgreSQL,PostgreSQL GitHub,github,https://github.com/postgres/postgres,en,200,True,
Bases de Datos,PostgreSQL,PostgreSQL Tutorial,tutorial,https://www.postgresql.org/docs/current/tutorial.html,en,200,True,
Bases de Datos,MySQL,MySQL Official Docs,docs,https://www.mysql.com/,en,403,False,
Bases de Datos,MySQL,MySQL GitHub,github,https://github.com/mysql,en,200,True,
Bases de Datos,MySQL,MySQL Tutorial,tutorial,https://www.mysqltutorial.org/,en,200,True,
