titulo,texto,tecnologia,tipo,url,categoria
FastAPI - FastAPI Official Docs - Parte 1,"FastAPI - FastAPI Skip to content FastAPI ¶ FastAPI framework, high performance, easy to learn, fast to code, ready for production Documentation : https://fastapi.tiangolo.com Source Code : https://github.com/fastapi/fastapi FastAPI is a modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints. The key features are: Fast : Very high performance, on par with NodeJS and Go (thanks to Starlette and Pydantic). One of the fastest Python frameworks available . Fast to code : Increase the speed to develop features by about 200% to 300%. * Fewer bugs : Reduce about 40% of human (developer) induced errors. * Intuitive : Great editor support. Completion everywhere. Less time debugging. Easy : Designed to be easy to use and learn. Less time reading docs. Short : Minimize code duplication. Multiple features from each parameter declaration. Fewer bugs. Robust : Get production-ready code. With automatic interactive documentation. Standards-based : Based on (and fully compatible with) the open standards for APIs: OpenAPI (previously known as Swagger) and JSON Schema . * estimation based on tests conducted by an internal development team, building production applications. Sponsors ¶ Keystone Sponsor ¶ Gold Sponsors ¶ Silver Sponsors ¶ Other sponsors Opinions ¶ ""I'm using FastAPI a ton these days. I'm actually planning to use it for all of my team's ML services at Microsoft . Some of them are getting integrated into the core Windows prod",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
FastAPI - FastAPI Official Docs - Parte 6,"upgrade ¶ Now modify the file main.py to receive a body from a PUT request. Declare the body using standard Python types, thanks to Pydantic. from fastapi import FastAPI from pydantic import BaseModel app = FastAPI () class Item ( BaseModel ): name : str price : float is_offer : bool | None = None @app . get ( ""/"" ) def read_root (): return { ""Hello"" : ""World"" } @app . get ( ""/items/ {item_id} "" ) def read_item ( item_id : int , q : str | None = None ): return { ""item_id"" : item_id , ""q"" : q } @app . put ( ""/items/ {item_id} "" ) def update_item ( item_id : int , item : Item ): return { ""item_name"" : item . name , ""item_id"" : item_id } The fastapi dev server should reload automatically. Interactive API docs upgrade ¶ Now go to http://127.0.0.1:8000/docs . The interactive API documentation will be automatically updated, including the new body: Click on the button ""Try it out"", it allows you to fill the parameters and directly interact with the API: Then click on the ""Execute"" button, the user interface will communicate with your API, send the parameters, get the results and show them on the screen: Alternative API docs upgrade ¶ And now, go to http://127.0.0.1:8000/redoc . The alternative documentation will also reflect the new query parameter and body: Recap ¶ In summary, you declare once the types of parameters, body, etc. as function parameters. You do that with standard modern Python types. You don't have to learn a new syntax, the methods or classes of a specific library,",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
Django - Django GitHub - Parte 2,"package.json package.json pyproject.toml pyproject.toml tox.ini tox.ini zizmor.yml zizmor.yml View all files Repository files navigation Django Django is a high-level Python web framework that encourages rapid development and clean, pragmatic design. Thanks for checking it out. All documentation is in the "" docs "" directory and online at https://docs.djangoproject.com/en/stable/ . If you're just getting started, here's how we recommend you read the docs: First, read docs/intro/install.txt for instructions on installing Django. Next, work through the tutorials in order ( docs/intro/tutorial01.txt , docs/intro/tutorial02.txt , etc.). If you want to set up an actual deployment server, read docs/howto/deployment/index.txt for instructions. You'll probably want to read through the topical guides (in docs/topics ) next; from there you can jump to the HOWTOs (in docs/howto ) for specific problems, and check out the reference ( docs/ref ) for gory details. See docs/README for instructions on building an HTML version of the docs. Docs are updated rigorously. If you find any problems in the docs, or think they should be clarified in any way, please take 30 seconds to fill out a ticket . You can log in with your GitHub account, or with a DjangoProject account if you have one. Once you log in, a New Ticket button is available next to View Tickets. To get more help: Join the Django Discord community . Join the community on the Django Forum . To contribute to Django: Check out https://doc",Django,github,https://github.com/django/django,Backend
Django - Django Tutorial - Parte 8,"rls , which is a pre-built URLconf provided by Django for the default admin site. You have now wired an index view into the URLconf. Verify it’s working with the following command: /  $ python manage.py runserver ...\> py manage.py runserver Go to http://localhost:8000/polls/ in your browser, and you should see the text “ Hello, world. You’re at the polls index. ”, which you defined in the index view. Page not found? If you get an error page here, check that you’re going to http://localhost:8000/polls/ and not http://localhost:8000/ . When you’re comfortable with the basic request and response flow, read part 2 of this tutorial to start working with the database. Back to Top Additional Information Support Django! JackLoveM donated to the Django Software Foundation to support Django development. Donate today! Contents Writing your first Django app, part 1 Creating a project The development server Creating the Polls app Write your first view Getting help FAQ Try the FAQ — it's got answers to many common questions. Index , Module Index , or Table of Contents Handy when looking for specific information. Django Discord Server Join the Django Discord Community. Official Django Forum Join the community on the Django Forum. Ticket tracker Report bugs with Django or Django documentation in our ticket tracker. Download: Offline (Django 6.0): HTML | PDF | ePub Provided by Read the Docs . Diamond and Platinum Members Sentry Monitor your Django Code Resolve performance bottlenecks and",Django,tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/,Backend
FastAPI - FastAPI GitHub - Parte 3,"duct and some Office products. "" Kabir Khan - Microsoft (ref) "" We adopted the FastAPI library to spawn a REST server that can be queried to obtain predictions . [for Ludwig] "" Piero Molino, Yaroslav Dudin, and Sai Sumanth Miryala - Uber (ref) "" Netflix is pleased to announce the open-source release of our crisis management orchestration framework: Dispatch ! [built with FastAPI ] "" Kevin Glisson, Marc Vilanova, Forest Monsen - Netflix (ref) "" If anyone is looking to build a production Python API, I would highly recommend FastAPI . It is beautifully designed , simple to use and highly scalable , it has become a key component in our API first development strategy and is driving many automations and services such as our Virtual TAC Engineer. "" Deon Pillsbury - Cisco (ref) FastAPI Conf FastAPI Conf '26 is happening on October 28, 2026 in Amsterdam, NL . All about FastAPI, right from the source. 🎤 FastAPI mini documentary There's a FastAPI mini documentary released at the end of 2025, you can watch it online: Typer , the FastAPI of CLIs If you are building a CLI app to be used in the terminal instead of a web API, check out Typer . Typer is FastAPI's little sibling. And it's intended to be the FastAPI of CLIs . ⌨️ 🚀 Requirements FastAPI stands on the shoulders of giants: Starlette for the web parts. Pydantic for the data parts. Installation First, install uv , and then add FastAPI to your project: $ uv add "" fastapi[standard] "" ---> 100% Note : Make sure you put ""fastapi[standard",FastAPI,github,https://github.com/fastapi/fastapi,Backend
Express.js - Express.js GitHub - Parte 3,"ow: Install the executable. The executable's major version will match Express's: npm install -g express-generator@4 Create the app: express /tmp/foo && cd /tmp/foo Install dependencies: npm install Start the server: npm start View the website at: http://localhost:3000 Philosophy The Express philosophy is to provide small, robust tooling for HTTP servers, making it a great solution for single page applications, websites, hybrids, or public HTTP APIs. Express does not force you to use any specific ORM or template engine. With support for over 14 template engines via @ladjs/consolidate , you can quickly craft your perfect framework. Examples To view the examples, clone the Express repository: git clone https://github.com/expressjs/express.git --depth 1 && cd express Then install the dependencies: npm install Then run whichever example you want: node examples/content-negotiation Contributing The Express.js project welcomes all constructive contributions. Contributions take many forms, from code for bug fixes and enhancements, to additions and fixes to documentation, additional tests, triaging incoming pull requests and issues, and more! See the Contributing Guide for more technical details on contributing. This project has a Code of Conduct . By participating, you are expected to uphold this code. Security Issues If you discover a security vulnerability in Express, please see Security Policies and Procedures . Running Tests To run the test suite, first install the dependencies: n",Express.js,github,https://github.com/expressjs/express,Backend
Django - Django Official Docs - Parte 6,"nd generic relations Flatpages Redirects Signals System check framework The sites framework Unicode in Django The Django open-source project ¶ Learn about the development process for the Django project itself and about how you can contribute: Community: Contributing to Django | The release process | Team organization | The Django source code repository | Security policies | Mailing lists and Forum Design philosophies: Overview Documentation: About this documentation Third-party distributions: Overview Django over time: API stability | Release notes and upgrading instructions | Deprecation Timeline Back to Top Additional Information Support Django! Thread donated to the Django Software Foundation to support Django development. Donate today! Getting help FAQ Try the FAQ — it's got answers to many common questions. Index , Module Index , or Table of Contents Handy when looking for specific information. Django Discord Server Join the Django Discord Community. Official Django Forum Join the community on the Django Forum. Ticket tracker Report bugs with Django or Django documentation in our ticket tracker. Download: Offline (Django 6.0): HTML | PDF | ePub Provided by Read the Docs . Diamond and Platinum Members Sentry Monitor your Django Code Resolve performance bottlenecks and errors using monitoring, replays, logs and Seer an AI agent for debugging. JetBrains JetBrains delivers intelligent software solutions that make developers more productive by simplifying their challenging ta",Django,docs,https://docs.djangoproject.com/,Backend
NestJS - NestJS GitHub - Parte 2,".config.mjs eslint.config.mjs gulpfile.js gulpfile.js lerna.json lerna.json package-lock.json package-lock.json package.json package.json readme_jp.md readme_jp.md readme_kr.md readme_kr.md readme_zh.md readme_zh.md renovate.json renovate.json tsconfig.json tsconfig.json tsconfig.spec.json tsconfig.spec.json View all files Repository files navigation A progressive Node.js framework for building efficient and scalable server-side applications. Description Nest is a framework for building efficient, scalable Node.js server-side applications. It uses modern JavaScript, is built with TypeScript (preserves compatibility with pure JavaScript) and combines elements of OOP (Object Oriented Programming), FP (Functional Programming), and FRP (Functional Reactive Programming). Under the hood, Nest makes use of Express , but also provides compatibility with a wide range of other libraries, like Fastify , allowing for easy use of the myriad of third-party plugins which are available. Philosophy In recent years, thanks to Node.js, JavaScript has become the “lingua franca” of the web for both front-end and back-end applications, giving rise to awesome projects like Angular , React , and Vue , which improve developer productivity and enable the construction of fast, testable, and extensible frontend applications. However, on the server-side, while there are a lot of superb libraries, helpers, and tools for Node, none of them effectively solve the main problem - the architecture. Nest aims to",NestJS,github,https://github.com/nestjs/nest,Backend
FastAPI - FastAPI GitHub - Parte 2,"ub.com/fastapi/fastapi FastAPI is a modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints. The key features are: Fast : Very high performance, on par with NodeJS and Go (thanks to Starlette and Pydantic). One of the fastest Python frameworks available . Fast to code : Increase the speed to develop features by about 200% to 300%. * Fewer bugs : Reduce about 40% of human (developer) induced errors. * Intuitive : Great editor support. Completion everywhere. Less time debugging. Easy : Designed to be easy to use and learn. Less time reading docs. Short : Minimize code duplication. Multiple features from each parameter declaration. Fewer bugs. Robust : Get production-ready code. With automatic interactive documentation. Standards-based : Based on (and fully compatible with) the open standards for APIs: OpenAPI (previously known as Swagger) and JSON Schema . * estimation based on tests conducted by an internal development team, building production applications. Sponsors Keystone Sponsor Gold Sponsors Silver Sponsors Other sponsors Opinions "" [...] I'm using FastAPI a ton these days. [...] I'm actually planning to use it for all of my team's ML services at Microsoft . Some of them are getting integrated into the core Windows product and some Office products. "" Kabir Khan - Microsoft (ref) "" We adopted the FastAPI library to spawn a REST server that can be queried to obtain predictions . [for Ludwig] "" Piero Molino, Yaroslav",FastAPI,github,https://github.com/fastapi/fastapi,Backend
Express.js - Express.js Tutorial - Parte 1,"Installing · Express.js Edit on GitHub Installing Before you begin, make sure you have Node.js 18 or higher installed. Then, create a directory for your application and navigate into it. Terminal window mkdir myapp cd myapp Use the npm init command to create a package.json file for your application. For more information on how package.json works, see Specifics of npm’s package.json handling . npm yarn pnpm bun Terminal window npm init Terminal window yarn init Terminal window pnpm init Terminal window bun init This command prompts you for a number of things, such as the name and version of your application. For now, you can simply hit RETURN to accept the defaults for most of them, with the following exception: entry point: (index.js) Enter app.js , or whatever you want the name of the main file to be. If you want it to be index.js , hit RETURN to accept the suggested default file name. Now, install Express in the myapp directory and save it in the dependencies list. For example: npm yarn pnpm bun Terminal window npm install express Terminal window yarn add express Terminal window pnpm add express Terminal window bun add express To install Express temporarily and not add it to the dependencies list: npm bun Terminal window npm install express --no-save Terminal window bun add express --no-save TypeScript Express is written in JavaScript and does not bundle its own type definitions. To use it with TypeScript, install TypeScript together with the community-maintained types for",Express.js,tutorial,https://expressjs.com/en/starter/installing.html,Backend
